,date,Country_Region,Confirmed,active_cases,active_rolling
1434,2021-06-21,India,29977861,42640.0,58140.0
525,2021-06-22,India,30028709,50848.0,56514.857142857145
528,2021-06-23,India,30082778,54069.0,54637.857142857145
315,2021-06-24,India,30134445,51667.0,53093.142857142855
312,2021-06-25,India,30183143,48698.0,51371.0
861,2021-06-26,India,30233183,50040.0,50201.57142857143
864,2021-06-27,India,30279331,46148.0,49158.57142857143
447,2021-06-28,India,30316897,37566.0,48433.71428571428
456,2021-06-29,India,30362848,45951.0,47734.142857142855
1089,2021-06-30,India,30411634,48786.0,46979.42857142857
1344,2021-07-01,India,30458251,46617.0,46258.0
657,2021-07-02,India,30502362,44111.0,45602.71428571428
654,2021-07-03,India,30545433,43071.0,44607.142857142855
0,2021-07-04,India,30585229,39796.0,43699.71428571428
3,2021-07-05,India,30619932,34703.0,43290.71428571428
1140,2021-07-06,India,30663665,43733.0,42973.857142857145
1137,2021-07-07,India,30709557,45892.0,42560.42857142857
789,2021-07-08,India,30752950,43393.0,42099.857142857145
780,2021-07-09,India,30795716,42766.0,41907.71428571428
990,2021-07-10,India,30837222,41506.0,41684.142857142855
993,2021-07-11,India,30874376,37154.0,41306.71428571428
228,2021-07-12,India,30907282,32906.0,41050.0
225,2021-07-13,India,30946147,38865.0,40354.57142857143
435,2021-07-14,India,30987880,41733.0,39760.42857142857
438,2021-07-15,India,31026829,38949.0,39125.57142857143
1575,2021-07-16,India,31064908,38079.0,38456.0
1572,2021-07-17,India,31106065,41157.0,38406.142857142855
300,2021-07-18,India,31144229,38164.0,38550.42857142857
297,2021-07-19,India,31174322,30093.0,38148.57142857143
603,2021-07-20,India,31216337,42015.0,38598.57142857143
606,2021-07-21,India,31257720,41383.0,38548.57142857143
1512,2021-07-22,India,31293062,35342.0,38033.28571428572
1509,2021-07-23,India,31332159,39097.0,38178.71428571428
906,2021-07-24,India,31371901,39742.0,37976.57142857143
909,2021-07-25,India,31411262,39361.0,38147.57142857143
